rs10004195	Lesion of stomach
rs10516487	Lupus Erythematosus
rs10516487	Lupus Erythematosus, Discoid
rs10516487	Lupus Erythematosus, Systemic
rs10516487	Lupus Vulgaris
rs10516487	Systemic Scleroderma
rs10517086	Diabetes Mellitus, Insulin-Dependent
rs1051730	Adenocarcinoma of lung (disorder)
rs1051730	Airway Obstruction
rs1051730	Cannabis Abuse
rs1051730	Carcinoma of lung
rs1051730	Chronic Obstructive Airway Disease
rs1051730	Drug habituation
rs1051730	Lung Neoplasms
rs1051730	Malignant neoplasm of lung
rs1051730	Nicotine Dependence
rs1051730	Non-small cell lung cancer metastatic
rs1051730	Obesity
rs1051740	Adenoma of large intestine
rs1051740	Age related macular degeneration
rs1051740	Breast Carcinoma
rs1051740	Bulla of lung
rs1051740	Cancer of Head and Neck
rs1051740	Carcinoma of lung
rs1051740	Colorectal Cancer
rs1051740	Colorectal Carcinoma
rs1051740	Craniofacial Abnormalities
rs1051740	Eclampsia
rs1051740	Esophageal carcinoma
rs1051740	Esophageal Neoplasms
rs1051740	Liver carcinoma
rs1051740	Malignant neoplasm of breast
rs1051740	Malignant neoplasm of esophagus
rs1051740	Malignant neoplasm of lung
rs1051740	Malignant neoplasm of ovary
rs1051740	Malignant neoplasm of stomach
rs1051740	Ovarian Carcinoma
rs1051740	Squamous cell carcinoma of esophagus
rs1051740	Stomach Carcinoma
rs1051740	Wheezing
rs1051792	Lupus Erythematosus, Systemic
rs1051792	Rheumatoid Arthritis
rs1051849	melanoma
rs10519177	Aortic Aneurysm
rs10519177	Aortic aneurysm without mention of rupture NOS
rs10519177	Dissecting aneurysm of the thoracic aorta
rs10519177	Dissection of aorta
rs10519203	Carcinoma of lung
rs10519203	Malignant neoplasm of lung
rs10521145	Kidney Diseases
rs1052133	Adenocarcinoma of lung (disorder)
rs1052133	Adenoma
rs1052133	Adenoma of large intestine
rs1052133	Age-related cataract
rs1052133	Age related macular degeneration
rs1052133	Breast Carcinoma
rs1052133	Cancer of Digestive System
rs1052133	Cancer of Head and Neck
rs1052133	Carcinogenesis
rs1052133	Carcinoma of bladder
rs1052133	Carcinoma of lung
rs1052133	Cerebrovascular accident
rs1052133	Cervix carcinoma
rs1052133	Chronic Obstructive Airway Disease
rs1052133	Colon Carcinoma
rs1052133	Colorectal Cancer
rs1052133	Colorectal Carcinoma
rs1052133	Congenital chromosomal disease
rs1052133	Coronary Artery Disease
rs1052133	Diabetes
rs1052133	Diabetes Mellitus
rs1052133	Diabetes Mellitus, Non-Insulin-Dependent
rs1052133	Esophageal carcinoma
rs1052133	Esophageal Neoplasms
rs1052133	Gallbladder Carcinoma
rs1052133	Gastro-esophageal reflux disease with esophagitis
rs1052133	Glaucoma, Primary Open Angle
rs1052133	Glioma
rs1052133	Hearing Loss, Mixed Conductive-Sensorineural
rs1052133	Hepatocarcinogenesis
rs1052133	Hodgkin Disease
rs1052133	Huntington Disease
rs1052133	Hyperkeratosis
rs1052133	Keratosis
rs1052133	Leukemia, Lymphocytic, Acute, L1
rs1052133	Leukoplakia
rs1052133	Lip and Oral Cavity Carcinoma
rs1052133	Liver carcinoma
rs1052133	Male infertility
rs1052133	Malignant neoplasm of breast
rs1052133	Malignant neoplasm of endometrium
rs1052133	Malignant neoplasm of esophagus
rs1052133	Malignant neoplasm of gallbladder
rs1052133	Malignant neoplasm of gastrointestinal tract
rs1052133	Malignant neoplasm of liver
rs1052133	Malignant neoplasm of lung
rs1052133	Malignant neoplasm of mouth
rs1052133	Malignant neoplasm of pancreas
rs1052133	Malignant neoplasm of prostate
rs1052133	Malignant neoplasm of stomach
rs1052133	Malignant neoplasm of urinary bladder
rs1052133	Malignant tumor of cervix
rs1052133	Malignant tumor of colon
rs1052133	melanoma
rs1052133	Melanosis
rs1052133	Melanosis coli
rs1052133	Meningitis
rs1052133	Meningitis, Bacterial
rs1052133	Mixed type cataract
rs1052133	Non-Small Cell Lung Carcinoma
rs1052133	Pancreatic carcinoma
rs1052133	Paroxysmal atrial tachycardia
rs1052133	Peptic Esophagitis
rs1052133	Prostate carcinoma
rs1052133	Rectal Carcinoma
rs1052133	Renal Cell Carcinoma
rs1052133	Secondary malignant neoplasm of lymph node
rs1052133	Squamous cell carcinoma
rs1052133	Squamous cell carcinoma of esophagus
rs1052133	Squamous cell carcinoma of the head and neck
rs1052133	Stage IV Prostate Cancer AJCC v7
rs1052133	Stage IV Prostate Carcinoma
rs1052133	Stomach Carcinoma
rs1052133	Tooth Loss
rs1052133	Uterine Corpus Cancer
rs1052133	Xeroderma Pigmentosum, Complementation Group D
rs10521496	Age related macular degeneration
rs10521496	Ovarian Failure, Premature
rs1052237	Autoimmune Diseases
rs10524523	Alzheimer Disease, Late Onset
rs10524523	Diabetes Mellitus, Non-Insulin-Dependent
rs1052486	Carcinoma of lung
rs1052486	Malignant neoplasm of lung
rs1052501	Multiple Myeloma
rs1052553	Neurodegenerative Disorders
rs1052667	Osteosarcoma
rs1052667	Osteosarcoma of bone
rs1052700	Obesity
rs1053005	Graves Disease
rs1053005	Thyroiditis
rs1053023	B-Cell Lymphomas
rs1053133	Liver carcinoma
rs1054016	Breast Carcinoma
rs1054016	Malignant neoplasm of breast
rs1054016	Secondary malignant neoplasm of bone
rs1054135	Obesity
rs10551063	Obesity
rs10551063	Schizophrenia
rs1056513	Obesity
rs1056534	Diabetic Nephropathy
rs1056534	Endothelial dysfunction
rs1056663	Malignant neoplasm of ovary
rs1056663	Ovarian Carcinoma
rs1056827	Carcinoma of bladder
rs1056827	Glaucoma, Primary Open Angle
rs1056827	Malignant neoplasm of urinary bladder
rs1056827	Uterine Fibroids
rs1056836	Adenocarcinoma of lung (disorder)
rs1056836	Asthma
rs1056836	B-Cell Lymphomas
rs1056836	Breast Carcinoma
rs1056836	Carcinoma of bladder
rs1056836	Carcinoma of lung
rs1056836	Colorectal Cancer
rs1056836	Colorectal Carcinoma
rs1056836	Endometrial Carcinoma
rs1056836	Fibroid Tumor
rs1056836	Gastrointestinal Stromal Tumors
rs1056836	Glaucoma, Primary Open Angle
rs1056836	Lymphoma
rs1056836	Malignant neoplasm of breast
rs1056836	Malignant neoplasm of endometrium
rs1056836	Malignant neoplasm of kidney
rs1056836	Malignant neoplasm of lung
rs1056836	Malignant neoplasm of prostate
rs1056836	Malignant neoplasm of urinary bladder
rs1056836	Meningioma
rs1056836	Meningioma, benign, no ICD-O subtype
rs1056836	Menopausal symptom
rs1056836	Osteoporosis
rs1056836	Premenopausal breast cancer
rs1056836	Prostate carcinoma
rs1056836	Uterine Corpus Cancer
rs1056836	Uterine Fibroids
rs1057035	Cancer of Head and Neck
rs1057035	Chronic Lymphocytic Leukemia
rs1057035	Colorectal Cancer
rs1057035	Colorectal Carcinoma
rs1057035	Hepatitis B
rs1057035	Lip and Oral Cavity Carcinoma
rs1057035	Liver carcinoma
rs1057035	Malignant neoplasm of mouth
rs1057035	Persistent infection
rs1058046	Diabetes Mellitus, Non-Insulin-Dependent
rs1058046	Obesity
rs1058319	Glioma
rs1058587	Deep thrombophlebitis
rs1058587	Deep Vein Thrombosis
rs1059004	Gilles de la Tourette syndrome
rs1059004	Mental disorders
rs1059004	Schizophrenia
rs1059060	Azoospermia
rs1059060	Male infertility
rs1059060	Oligospermia
rs1059293	Breast Carcinoma
rs1059293	Malignant neoplasm of breast
rs1059513	Allergic sensitization
rs1059513	Glioma
rs1059702	Giant Cell Arteritis
rs1059702	Lupus Erythematosus, Systemic
rs1059702	Sepsis
rs1059702	Septicemia
rs1059702	Systemic Scleroderma
rs1059703	Cerebral Infarction
rs1059703	Cerebrovascular accident
rs1059703	Sepsis
rs1059703	Septicemia
rs1059703	Subarachnoid Hemorrhage
rs1061170	Age related macular degeneration
rs1061170	Arteriosclerosis
rs1061170	Atherosclerosis
rs1061170	Atrophic condition of skin
rs1061170	BASAL LAMINAR DRUSEN (disorder)
rs1061170	Cardiovascular Diseases
rs1061170	Coronary Arteriosclerosis
rs1061170	Coronary Artery Disease
rs1061170	Coronary heart disease
rs1061170	Diabetes
rs1061170	Diabetes Mellitus
rs1061170	Diabetes Mellitus, Non-Insulin-Dependent
rs1061170	Disorder of eye
rs1061170	Drusen
rs1061170	Exudative age-related macular degeneration
rs1061170	Geographic Atrophy
rs1061170	Hypercholesterolemia, Familial
rs1061170	Hypertensive disease
rs1061170	Macular degeneration
rs1061170	Membranoproliferative Glomerulonephritis, Type II
rs1061170	Multifocal choroiditis
rs1061170	Myocardial Infarction
rs1061170	Obesity
rs1061170	Ocular sarcoidosis
rs1061170	Panuveitis
rs1061170	Photopsia
rs1061170	Pseudoxanthoma Elasticum
rs1061170	Retinal Diseases
rs1061170	Sarcoidosis
rs1061170	Sepsis
rs1061170	Septicemia
rs1061170	Soft drusen
rs1061170	Systemic Inflammatory Response Syndrome
rs1061170	Thromboembolism
rs1061170	Uveitis
rs1061170	Uveitis, Posterior
rs1061302	Non-Small Cell Lung Carcinoma
rs1061581	Bipolar Disorder
rs1061581	High altitude pulmonary edema
rs1061581	Leukemia, Lymphocytic, Acute, L1
rs1061622	Acne
rs1061622	Acne Vulgaris
rs1061622	Arthritis
rs1061622	Autoimmune Diseases
rs1061622	Breast Carcinoma
rs1061622	Degenerative polyarthritis
rs1061622	Graft-vs-Host Disease
rs1061622	Hyperandrogenism
rs1061622	Infection by Wuchereria bancrofti
rs1061622	Liver carcinoma
rs1061622	Lupus Erythematosus, Systemic
rs1061622	Malignant neoplasm of breast
rs1061622	Osteoarthritis, Knee
rs1061622	Ovarian Diseases
rs1061622	Paranoid Schizophrenia
rs1061622	Polycystic Ovary Syndrome
rs1061622	Rheumatoid Arthritis
rs1061622	Testicular Hydrocele
rs1061624	Breast Carcinoma
rs1061624	Malignant neoplasm of breast
rs1061624	Rectal Carcinoma
rs1062033	Degenerative polyarthritis
rs1062033	Osteoporosis, Postmenopausal
rs1062613	Bipolar Disorder
rs1062613	MAJOR AFFECTIVE DISORDER 1
rs1062613	MAJOR AFFECTIVE DISORDER 2
rs1062613	MAJOR AFFECTIVE DISORDER 4
rs1062613	MAJOR AFFECTIVE DISORDER 5
rs1062613	MAJOR AFFECTIVE DISORDER 6
rs1062613	MAJOR AFFECTIVE DISORDER 7
rs1062613	MAJOR AFFECTIVE DISORDER 8
rs1062613	MAJOR AFFECTIVE DISORDER 9
rs1063192	childhood brain tumor
rs1063192	Glaucoma
rs1063192	Glaucoma, Open-Angle
rs1063192	Glaucoma, Primary Open Angle
rs1063192	Intraocular pressure disorder
rs1063192	Low Tension Glaucoma
rs1063192	Neoplasm Metastasis
rs1063355	Asthma
rs1063478	Hepatitis C
rs1064395	Bipolar Disorder
rs1064395	Schizophrenia
rs1064891	Obesity, Morbid
rs1065489	Uveitis
rs10675722	Dementia, Vascular
rs1071630	Leprosy
rs1071630	Steroid-sensitive nephrotic syndrome
rs1071676	Fatigue
rs10733376	Intracranial Aneurysm
rs10735810	Bone necrosis
rs10735810	Bronchiolitis
rs10735810	Epithelial ovarian cancer
rs10735810	Malignant neoplasm of ovary
rs10735810	Non-Small Cell Lung Carcinoma
rs10735810	Ovarian Carcinoma
rs10735810	Schizophrenia
rs10735810	Squamous cell carcinoma of the head and neck
rs10735810	Thyroid carcinoma
rs10739971	Gastritis, Atrophic
rs10739971	Malignant neoplasm of stomach
rs10739971	Stomach Carcinoma
rs10741657	Colon Carcinoma
rs10741657	Coronary Arteriosclerosis
rs10741657	Coronary Artery Disease
rs10741657	Coronary heart disease
rs10741657	Differentiated Thyroid Gland Carcinoma
rs10741657	Follicular thyroid carcinoma
rs10741657	Hepatitis C, Chronic
rs10741657	Liver carcinoma
rs10741657	Malignant neoplasm of pancreas
rs10741657	Malignant tumor of colon
rs10741657	Pancreatic carcinoma
rs10741657	Papillary thyroid carcinoma
rs10741657	Vitamin D Deficiency
rs10744676	Idiopathic pulmonary hypertension
rs10744676	Pulmonary arterial hypertension
rs10744676	Pulmonary Hypertension, Primary, 1, With Hereditary Hemorrhagic Telangiectasia
rs10744777	Ischemic Cerebrovascular Accident
rs10744777	Ischemic stroke
rs10748842	Delusions
rs10752637	Alzheimer's Disease
rs10754339	Breast Carcinoma
rs10754339	Malignant neoplasm of breast
rs10754558	HIV Infections
rs10754558	Human T-cell lymphotropic virus 1 infection
rs10754833	Benign melanocytic nevus
rs10754833	Melanocytic nevus
rs10754833	Melanocytic nevus of skin
rs10754833	Nevus
rs10757272	Intracranial Aneurysm
rs10757274	Cardiovascular Diseases
rs10757274	Cerebrovascular accident
rs10757274	Coronary Arteriosclerosis
rs10757274	Coronary Artery Disease
rs10757274	Coronary heart disease
rs10757274	Diabetes Mellitus, Non-Insulin-Dependent
rs10757274	Ischemic Cerebrovascular Accident
rs10757274	Ischemic stroke
rs10757274	Myocardial Infarction
rs10757278	Aortic Aneurysm
rs10757278	Aortic aneurysm without mention of rupture NOS
rs10757278	Cerebrovascular accident
rs10757278	Coronary Arteriosclerosis
rs10757278	Coronary Artery Disease
rs10757278	Coronary heart disease
rs10757278	Myocardial Infarction
rs10758669	Crohn Disease
rs10758669	Inflammatory Bowel Diseases
rs10758669	Polycythemia Vera
rs10758669	Primary Myelofibrosis
rs10758669	Thrombocythemia, Essential
rs10758669	Ulcerative Colitis
rs10759932	Bacterial Vaginosis
rs10759932	Helicobacter pylori infection
rs10759932	precancerous lesions
rs10759	Carcinoma of bladder
rs10759	Malignant neoplasm of urinary bladder
rs10759	Schizophrenia
rs10761482	Bipolar Disorder
rs10761482	Schizophrenia
rs10761482	Unipolar Depression
rs10765576	Breast Carcinoma
rs10765576	Malignant neoplasm of breast
rs1076560	Alcoholic Intoxication, Chronic
rs10766197	Asthma
rs10767971	Parkinson Disease
rs1076991	Leukemia, Lymphocytic, Acute, L1
rs10770141	Hypertensive disease
rs10770141	Schizophrenia
rs10771279	Renal Cell Carcinoma
rs10771399	Breast Carcinoma
rs10771399	Malignant neoplasm of breast
rs10771973	Sensory neuropathy
rs10773771	Cancer of Head and Neck
rs10773771	Hepatitis B
rs10773771	Liver carcinoma
rs10774671	Diabetes Mellitus, Insulin-Dependent
rs10774671	Hepatitis B, Chronic
rs10775480	Carcinoma of bladder
rs10775480	Malignant neoplasm of urinary bladder
rs10789166	Asthma
rs10789859	Liver carcinoma
rs10790162	Hypercholesterolemia
rs10790162	Metabolic Syndrome X
rs1079196	Anxiety Disorders
rs10793294	Alzheimer's Disease
rs10795668	Colon Carcinoma
rs10795668	Colorectal Cancer
rs10795668	Colorectal Carcinoma
rs10795668	Malignant tumor of colon
rs10797728	Diabetes Mellitus, Non-Insulin-Dependent
rs10798269	Lupus Erythematosus, Systemic
rs10798269	Rheumatoid Arthritis
rs10801935	Breast Carcinoma
rs10801935	Malignant neoplasm of breast
rs10811474	Breast Carcinoma
rs10811474	Carcinoma of bladder
rs10811474	Carcinoma of lung
rs10811474	Malignant neoplasm of breast
rs10811474	Malignant neoplasm of lung
rs10811474	Malignant neoplasm of stomach
rs10811474	Malignant neoplasm of urinary bladder
rs10811474	Stomach Carcinoma
rs10811661	Diabetes Mellitus, Insulin-Dependent
rs10811661	Diabetes Mellitus, Non-Insulin-Dependent
rs10811661	Diabetic Nephropathy
rs10811661	Dyslipidemias
rs10811661	Gestational Diabetes
rs10811661	Impaired glucose tolerance
rs10811661	Prediabetes syndrome
rs10814325	Secondary malignant neoplasm of lymph node
rs10818488	Acquired aplastic anemia
rs10818488	Aplastic Anemia
rs10818488	Lupus Erythematosus, Systemic
rs10818488	Rheumatoid Arthritis
rs10818684	Diabetes
rs10818684	Diabetes Mellitus
rs10821936	Acute lymphocytic leukemia
rs10821936	Hyperdiploid B Acute Lymphoblastic Leukemia
rs10821936	leukemia
rs10821936	Leukemia, Lymphocytic, Acute, L1
rs10821936	Leukemia, Myelocytic, Acute
rs10821936	Lymphoid leukemia
rs10821936	Precursor Cell Lymphoblastic Leukemia Lymphoma
rs10822013	Breast Carcinoma
rs10822013	Malignant neoplasm of breast
rs1082214	Depressive disorder
rs1082214	Early Awakening
rs1082214	Fatigue
rs1082214	Mental Depression
rs10823406	Diabetes Mellitus, Non-Insulin-Dependent
rs10828317	Acute lymphocytic leukemia
rs10828317	Precursor Cell Lymphoblastic Leukemia Lymphoma
rs10830962	Polycystic Ovary Syndrome
rs10830963	Diabetes Mellitus, Insulin-Dependent
rs10830963	Diabetes Mellitus, Non-Insulin-Dependent
rs10830963	Gestational Diabetes
rs10830963	Impaired glucose tolerance
rs10830963	Insulin Resistance
rs10830963	Obesity
rs10830963	Ovarian Diseases
rs10830963	Overweight
rs10830963	Polycystic Ovary Syndrome
rs10830963	Sleep Disorders
rs10830963	Sleep disturbances
rs10835638	Oligospermia
rs10838725	Alzheimer's Disease
rs10841845	Rheumatoid Arthritis
rs10842750	Kashin-Beck Disease
rs10845493	Coronary Artery Disease
rs10845493	Dyslipidemias
rs10845990	Alzheimer's Disease
rs10846744	Arteriosclerosis
rs10846744	Atherosclerosis
rs10848635	Depressive disorder
rs10848635	Mental Depression
rs10853728	Hepatitis
rs10853728	Hepatitis A
rs10853728	Hepatitis C
rs10859871	Endometriosis
rs10859871	Ovarian Diseases
rs10860812	Hypertensive disease
rs10861032	Coronary Restenosis
rs10861279	Diabetes Mellitus, Non-Insulin-Dependent
rs10864294	Coronary Artery Disease
rs10865035	Lupus Erythematosus, Systemic
rs10865035	Rheumatoid Arthritis
rs10865331	Ankylosing spondylitis
rs10876864	Vitiligo
rs10877012	Differentiated Thyroid Gland Carcinoma
rs10877012	Follicular thyroid carcinoma
rs10877012	Hepatitis C, Chronic
rs10877012	Papillary thyroid carcinoma
rs10878232	Non-Small Cell Lung Carcinoma
rs10883365	Crohn Disease
rs10883365	Ulcerative Colitis
rs10883866	Delusions
rs10885122	Diabetes Mellitus, Non-Insulin-Dependent
rs10886471	Diabetes Mellitus, Non-Insulin-Dependent
rs10887710	Malignant neoplasm of pancreas
rs10887710	Pancreatic carcinoma
rs10888557	Parkinson Disease
rs10889675	Carcinogenesis
rs10889675	Rectal Carcinoma
rs10889675	Rectal Neoplasms
rs10889675	Rectal Tumors
rs10889677	Breast Carcinoma
rs10889677	Crohn Disease
rs10889677	Malignant neoplasm of breast
rs10889677	Solid tumour
rs10889677	Ulcerative Colitis
rs10891246	Colorectal Cancer
rs10891246	Colorectal Carcinoma
rs10892151	Dyslipidemias
rs10892169	Alcoholic Intoxication, Chronic
rs10892279	Autoimmune Diseases
rs10893506	Cervix carcinoma
rs10893506	Malignant tumor of cervix
rs10895304	Malignant neoplasm of prostate
rs10895304	Prostate carcinoma
rs10899221	Malignant neoplasm of prostate
rs10899221	Prostate carcinoma
rs10903035	Fibrosis, Liver
rs10903035	Persistent infection
rs10903323	Cardiovascular Diseases
rs10903323	Coronary Arteriosclerosis
rs10903323	Coronary Artery Disease
rs10903323	Myocardial Ischemia
rs10903323	Rheumatism
rs10903323	Rheumatoid Arthritis
rs10906115	Diabetes Mellitus, Non-Insulin-Dependent
rs10908821	Senile Plaques
rs10911021	Coronary Arteriosclerosis
rs10911021	Coronary heart disease
rs10911251	Colorectal Cancer
rs10913469	Obesity
rs10916832	Schizophrenia
rs10918594	Superficial ulcer
rs10918594	Vascular occlusion
rs10918706	Diabetes Mellitus, Insulin-Dependent
rs10918706	Hepatitis B
rs10918859	Coronary Arteriosclerosis
rs10918859	Coronary heart disease
rs10919563	Rheumatoid Arthritis
rs10923931	Cardiovascular Diseases
